BVS,Lasso
0.0,-257.64276434975136
0.0,-186.87549012456498
0.0,-219.9698168421362
0.0,-218.2549902163837
0.0,-306.09648361574864
0.0,-244.21148499782362
0.0,-281.0941823673734
0.0,-234.90681362866712
0.0,-284.603312651122
0.0,-216.82162203336839
0.0,-194.95969988365118
0.0,-268.69743688219523
0.0,-346.00676900597136
0.0,-248.27886867317102
0.0,-313.97085830314995
0.0,-216.87141617326893
0.0,-231.3955829972815
0.0,-175.74054999233908
0.0,-179.2885946462302
0.0,-219.86018918630543
0.0,-171.31210215218653
0.0,-236.80544471217172
0.0,-228.16675446466797
0.0,-437.4952744925963
0.0,-223.76006518794566
0.0,-377.25804923737815
0.0,-250.34631661433514
0.0,-346.5007911402181
0.0,-224.16884444989728
0.0,-241.8090281898019
0.0,-232.2180892481988
0.0,-176.4295910703188
0.0,-284.6272494291957
0.0,-146.82960830872162
0.0,-367.1281756949156
0.0,-177.21562102856842
0.0,-187.20768161935507
0.0,-288.9719766370358
0.0,-156.8296878213696
0.0,-146.4946100173272
0.0,-286.66198867727417
0.0,-267.922365076824
0.0,-214.46812936731976
0.0,-243.50044471209185
0.0,-222.57567629172127
0.0,-272.39600506452575
0.0,-162.9976496019749
0.0,-257.6492047722222
0.0,-200.93360980649823
0.0,-132.11858149874274
0.0,-191.76844756757964
0.0,-138.6710560190154
0.0,-306.4745321195319
0.0,-279.3974285922443
0.0,-169.1190402331713
0.0,-188.4187181768134
0.0,-245.17263840912028
0.0,-325.43696437766675
0.0,-340.52716750531454
0.0,-307.1610060726514
0.0,-369.7405310944896
0.0,-243.17144085197742
0.0,-195.41503363526817
0.0,-228.78349385643992
0.0,-168.546620446617
0.0,-327.6506484844749
0.0,-283.87974855794596
0.0,-209.71046869628026
0.0,-311.6122464292571
0.0,-246.34223326855113
0.0,-97.28314611799215
0.0,-176.64671045461864
0.0,-258.23363409231933
0.0,-224.8878440651165
0.0,-239.21512819192367
0.0,-246.14230328745657
0.0,-283.826538009914
0.0,-263.36906896400365
0.0,-209.61858255772358
0.0,-379.07442588645836
0.0,-401.0967961549509
0.0,-251.59828505350993
0.0,-187.38462385565822
0.0,-221.7634733280829
0.0,-349.64437272008036
0.0,-219.16729001909926
0.0,-277.4815904494335
0.0,-267.1319512821999
0.0,-304.7022679131719
0.0,-352.75683448246446
0.0,-294.1022548539354
0.0,-300.43015905944594
0.0,-155.3792638656464
0.0,-217.93431034155765
0.0,-192.80992299555896
0.0,-295.7300525040396
0.0,-258.80908416156217
0.0,-196.83711550368776
0.0,-172.4444087434515
0.0,-235.39314547782283
