design,n,p,SNR,SP_percent,median_Rhat,H_minus_T,N_minus_T,mean_acceptance
correlated,500,1000,0.5,100.0,1.0,134.7741922376894,134.7741922376894,0.40904833333333335
correlated,500,1000,1.0,75.0,1.176343101191423,69.42538121908629,68.04737017040839,0.17839458333333333
correlated,500,1000,2.0,95.0,1.0305704044365784,0.0,-117.383325759333,0.005247916666666666
correlated,500,1000,3.0,90.0,1.0,0.0,-259.9544980136267,0.00663125
correlated,500,5000,0.5,95.0,1.0,170.4277841321738,170.4277841321738,0.40653075000000005
correlated,500,5000,1.0,90.0,1.0871280415796223,86.79997819243385,84.37229089902166,0.17770508333333332
correlated,500,5000,2.0,35.0,5.007513231753242,0.0,-99.46350508058158,0.005982416666666666
correlated,500,5000,3.0,100.0,1.0,0.0,-266.3810697594746,0.005181750000000001
correlated,1000,1000,0.5,100.0,1.0,135.9595130442186,135.9595130442186,0.40639916666666664
correlated,1000,1000,1.0,75.0,1.1928640504299173,62.6602355679709,57.27909971870686,0.09842958333333333
correlated,1000,1000,2.0,100.0,1.0334572938918,0.0,-187.47082955249599,0.005734166666666667
correlated,1000,1000,3.0,100.0,1.0,0.0,-428.3795505719475,0.00536375
correlated,1000,5000,0.5,100.0,1.0,168.4312396752266,168.4312396752266,0.4065530833333334
correlated,1000,5000,1.0,85.0,1.1314242349457027,81.6342162403048,76.67887495849627,0.10188975
correlated,1000,5000,2.0,95.0,1.0,0.0,-197.06506874936449,0.004475833333333333
correlated,1000,5000,3.0,100.0,1.0,0.0,-464.0499390698168,0.004638666666666667
independent,500,1000,0.5,100.0,1.0,116.76666831611934,116.75636849661687,0.3729795833333333
independent,500,1000,1.0,90.0,1.2201024126403273,26.90854889353732,4.0477633344604325,0.008414166666666667
independent,500,1000,2.0,100.0,1.0,0.0,-212.58192941461084,0.006480833333333333
independent,500,1000,3.0,100.0,1.0,0.0,-385.1998987580492,0.0052879166666666665
independent,500,5000,0.5,95.0,1.0,145.9500287091038,145.9500287091038,0.37888099999999997
independent,500,5000,1.0,75.0,1.2661125376613391,38.42348776592462,23.683527505821665,0.008366916666666667
independent,500,5000,2.0,100.0,1.0,0.0,-213.1447226124939,0.004548083333333333
independent,500,5000,3.0,90.0,1.0,0.0,-376.3358022590169,0.004904083333333333
independent,1000,1000,0.5,100.0,1.014235678440099,110.10819913645119,109.94037856143741,0.33962291666666666
independent,1000,1000,1.0,100.0,1.1665146350441917,20.145586664606164,-19.890212582579714,0.00654125
independent,1000,1000,2.0,100.0,1.0,0.0,-350.0580487644148,0.006235833333333334
independent,1000,1000,3.0,95.0,1.0,0.0,-648.3271733084811,0.006072083333333334
independent,1000,5000,0.5,100.0,1.01018283331073,141.08159710091095,141.02322794615492,0.35766258333333334
independent,1000,5000,1.0,95.0,1.152531709016332,33.07503603752639,-5.461542250608363,0.005301083333333333
independent,1000,5000,2.0,100.0,1.0,0.0,-368.54362901068396,0.004475166666666667
independent,1000,5000,3.0,100.0,1.0,0.0,-679.6281523842704,0.004226833333333333
